state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
AK,Alaska,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,122334,,,,,
AK,Alaska,06/01/2017,Y,U,Y,3069,"Includes Renewals and/or Redeterminations",0,,3069,"Includes Renewals and/or Redeterminations",3422,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3422,"Includes Renewals and/or Redeterminations",90081,,194534,,182080,,12454,
AK,Alaska,07/01/2017,Y,U,Y,3265,"Includes Renewals and/or Redeterminations",0,,3265,"Includes Renewals and/or Redeterminations",3159,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3159,"Includes Renewals and/or Redeterminations",90562,,196121,,183516,,12605,
AK,Alaska,08/01/2017,Y,U,Y,3967,"Includes Renewals and/or Redeterminations",0,,3967,"Includes Renewals and/or Redeterminations",3187,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,3187,"Includes Renewals and/or Redeterminations",91294,,197834,,185071,,12763,
AK,Alaska,09/01/2017,Y,U,Y,3553,"Includes Renewals and/or Redeterminations",0,,3553,"Includes Renewals and/or Redeterminations",2664,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2664,"Includes Renewals and/or Redeterminations",91550,,198742,,185974,,12768,
AK,Alaska,10/01/2017,Y,U,Y,3574,,0,,3574,,2961,,0,,2961,,92122,,200627,,187664,,12963,
AK,Alaska,11/01/2017,Y,U,Y,4320,,0,,4320,,3337,,0,,3337,,92203,,201672,,188630,,13042,
AK,Alaska,12/01/2017,Y,U,Y,3446,,0,,3446,,3825,,0,,3825,,91360,,200369,,187450,,12919,
AK,Alaska,01/01/2018,Y,U,Y,3735,,0,,3735,,2838,,0,,2838,,92495,,203654,,190513,,13141,
AK,Alaska,02/01/2018,Y,U,Y,3052,,0,,3052,,2334,,0,,2334,,92649,,204311,,191133,,13178,
AK,Alaska,03/01/2018,Y,U,Y,3373,"Includes Renewals and/or Redeterminations",0,,3373,"Includes Renewals and/or Redeterminations",2584,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2584,"Includes Renewals and/or Redeterminations",93203,,205761,,192481,,13280,
AK,Alaska,04/01/2018,Y,U,Y,3352,"Includes Renewals and/or Redeterminations",0,,3352,"Includes Renewals and/or Redeterminations",2315,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2315,"Includes Renewals and/or Redeterminations",93680,,207337,,194039,,13298,
AK,Alaska,05/01/2018,Y,U,Y,3549,"Includes Renewals and/or Redeterminations",0,,3549,"Includes Renewals and/or Redeterminations",2312,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2312,"Includes Renewals and/or Redeterminations",93840,,207771,,194367,,13404,
AK,Alaska,06/01/2018,Y,U,Y,3239,"Includes Renewals and/or Redeterminations",0,,3239,"Includes Renewals and/or Redeterminations",2245,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2245,"Includes Renewals and/or Redeterminations",95006,,211054,,197325,,13729,
AK,Alaska,07/01/2018,Y,U,Y,2911,"Includes Renewals and/or Redeterminations",0,,2911,"Includes Renewals and/or Redeterminations",2232,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2232,"Includes Renewals and/or Redeterminations",95035,,211609,,197806,,13803,
AK,Alaska,08/01/2018,Y,U,Y,3216,"Includes Renewals and/or Redeterminations",0,,3216,"Includes Renewals and/or Redeterminations",2409,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2409,"Includes Renewals and/or Redeterminations",95080,,211945,,197981,,13964,
AK,Alaska,09/01/2018,Y,U,Y,2806,"Includes Renewals and/or Redeterminations",0,,2806,"Includes Renewals and/or Redeterminations",2126,"Includes Renewals and/or Redeterminations; Includes CHIP",0,,2126,"Includes Renewals and/or Redeterminations",94323,,210368,,196445,,13923,
AK,Alaska,10/01/2018,Y,U,Y,3797,"Includes Renewals and/or Redeterminations",0,,3797,"Includes Renewals and/or Redeterminations",2883,"Includes Renewals and/or Redeterminations; Includes CHIP",143,,3026,"Includes Renewals and/or Redeterminations",94829,,211746,,197355,,14391,
AK,Alaska,11/01/2018,Y,U,Y,3685,"Includes Renewals and/or Redeterminations",0,,3685,"Includes Renewals and/or Redeterminations",3396,"Includes Renewals and/or Redeterminations; Includes CHIP",218,,3614,"Includes Renewals and/or Redeterminations",95187,,213702,,198867,,14835,
AK,Alaska,12/01/2018,Y,U,Y,3205,"Includes Renewals and/or Redeterminations",0,,3205,"Includes Renewals and/or Redeterminations",2798,"Includes Renewals and/or Redeterminations; Includes CHIP",130,,2928,"Includes Renewals and/or Redeterminations",94469,,211912,,197143,,14769,
AK,Alaska,01/01/2019,Y,U,Y,3032,"Includes Renewals and/or Redeterminations",0,,3032,"Includes Renewals and/or Redeterminations",3156,"Includes Renewals and/or Redeterminations; Includes CHIP",158,,3314,"Includes Renewals and/or Redeterminations",95796,,216175,,201038,,15137,
AK,Alaska,02/01/2019,Y,U,Y,3865,"Includes Renewals and/or Redeterminations",0,,3865,"Includes Renewals and/or Redeterminations",3084,"Includes Renewals and/or Redeterminations; Includes CHIP",173,,3257,"Includes Renewals and/or Redeterminations",96172,,217468,,202090,,15378,
AK,Alaska,03/01/2019,Y,U,Y,3588,"Includes Renewals and/or Redeterminations",0,,3588,"Includes Renewals and/or Redeterminations",3363,"Includes Renewals and/or Redeterminations; Includes CHIP",271,,3634,"Includes Renewals and/or Redeterminations",96256,,217793,,202397,,15396,
