state,hio,commercial_mco,medicaid_only_mco,pccm,php,other,crb_mc_enrollees
Alabama,0,0,0,387947,392196,0,0
Alaska,0,0,0,0,0,0,0
Arizona,0,60540,636631,0,50305,0,697171
Arkansas,0,0,0,292712,336111,0,0
California,511353,2640578,0,26775,296189,3509,2640578
Colorado,0,66057,81238,56163,258194,0,147295
Connecticut,0,231467,48639,0,0,0,280106
Delaware,0,87465,0,0,0,0,87465
District of Columbia,0,0,80300,0,2662,0,80300
Florida,0,454528,181116,638090,86809,18052,635644
Georgia,0,0,0,1043154,998269,0,0
Hawaii,0,113019,28996,0,1113,1672,142015
Idaho,0,0,0,58284,0,0,0
Illinois,0,115604,15384,0,0,0,130988
Indiana,0,0,204578,279538,0,0,204578
Iowa,0,57431,0,67014,227495,0,57431
Kansas,0,61167,0,68995,0,0,61167
Kentucky,0,0,122972,293560,500987,0,122972
Louisiana,0,0,0,206992,0,0,0
Maine,0,0,0,110922,0,0,0
Maryland,0,0,451307,0,0,0,451307
Massachusetts,0,122812,115121,390899,411477,0,237933
Michigan,0,465549,318867,0,1208803,0,784416
Minnesota,0,356975,15288,0,0,777,372263
Mississippi,0,0,0,0,0,0,0
Missouri,0,151266,262095,0,0,0,413361
Montana,0,0,0,52209,0,0,0
Nebraska,0,32426,0,37379,0,163772,32426
Nevada,0,60823,0,0,0,0,60823
New Hampshire,0,9206,0,0,0,0,9206
New Jersey,0,40790,483114,0,0,0,523904
New Mexico,0,243069,0,0,0,0,243069
New York,0,585915,475082,20156,7230,11517,1060997
North Carolina,0,20738,0,701351,0,0,20738
North Dakota,0,594,0,30214,0,0,594
Ohio,0,170188,208288,0,0,0,378476
Oklahoma,0,22640,160863,155316,0,0,183503
Oregon,0,71207,194626,13812,728352,0,265833
Pennsylvania,0,227305,775544,129901,930249,0,1002849
Puerto Rico,0,865285,0,0,865285,0,865285
Rhode Island,0,117024,0,0,0,0,117024
South Carolina,0,0,45401,18871,0,0,45401
South Dakota,0,0,0,68649,85868,0,0
Tennessee,0,988919,442047,0,1430966,0,1430966
Texas,0,320664,210206,197544,217693,0,530870
Utah,0,67049,23749,13068,299686,0,90798
Vermont,0,0,0,82261,0,0,0
Virgin Islands,0,0,0,0,0,0,0
Virginia,0,179367,58395,71897,0,0,237762
Washington,0,363024,81608,4146,829625,0,444632
West Virginia,0,48189,0,96722,0,0,48189
Wisconsin,0,315515,1099,0,492,0,316614
Wyoming,0,0,0,0,0,0,0
