state,total_med_enr,pccm,mltss,bho,dental,transportation,pace,other,comprehensive_mco_enr,year
Alabama,959607,547806,NA,NA,NA,NA,135,22983,NA,2013
Alaska,145279,NA,NA,NA,NA,NA,NA,NA,NA,2013
American Samoa3,52620,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,1271190,NA,NA,NA,NA,NA,NA,NA,1072628,2013
Arkansas,614466,439817,NA,NA,NA,462953,129,NA,NA,2013
California,8469015,NA,NA,NA,661389,NA,3861,927,5686453,2013
Colorado,740248,355618,NA,702585,NA,NA,2369,21199,76331,2013
Connecticut,621770,NA,NA,NA,NA,NA,NA,NA,NA,2013
Delaware,216106,NA,NA,NA,NA,NA,28,NA,182430,2013
District of Columbia,252852,NA,NA,NA,NA,51424,NA,NA,157821,2013
Florida,3384173,587339,20713,586012,1314808,NA,827,5791,1516233,2013
Georgia,1813771,NA,NA,NA,NA,NA,NA,NA,1148809,2013
Guam,36912,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,307428,NA,NA,NA,NA,NA,NA,NA,288539,2013
Idaho,255295,218455,NA,0,241138,241432,NA,661,NA,2013
Illinois,2931023,1870271,NA,NA,NA,NA,NA,NA,282183,2013
Indiana,1125683,34518,NA,NA,NA,NA,NA,NA,731112,2013
Iowa,434414,206917,NA,420973,NA,404898,185,NA,30404,2013
Kansas,398934,NA,NA,NA,NA,NA,322,NA,328600,2013
Kentucky,846912,NA,NA,NA,NA,NA,NA,NA,716715,2013
Louisiana,1256722,516967,NA,1037068,NA,NA,297,NA,427713,2013
Maine,262334,178321,NA,NA,NA,NA,NA,NA,NA,2013
Maryland,1089227,NA,NA,NA,NA,NA,112,NA,864988,2013
Massachusetts,1409600,361231,NA,68258,NA,NA,3030,NA,442953,2013
Michigan,1815866,NA,NA,1602163,431030,NA,833,NA,1290847,2013
Minnesota,902415,NA,NA,NA,NA,NA,NA,NA,633494,2013
Mississippi,689153,NA,NA,NA,NA,NA,NA,NA,155124,2013
Missouri,868226,NA,NA,NA,NA,428596,194,NA,415637,2013
Montana,119086,78022,NA,NA,NA,NA,NA,NA,NA,2013
Nebraska,244441,NA,NA,414842,NA,NA,80,NA,185083,2013
Nevada,328748,NA,NA,NA,NA,180321,NA,NA,180321,2013
New Hampshire,145982,NA,NA,NA,NA,NA,NA,NA,0,2013
New Jersey,1201134,NA,NA,NA,NA,1015399,707,NA,1055246,2013
New Mexico,554620,NA,NA,375133,NA,NA,625,NA,412486,2013
New York,5352862,NA,101351,NA,NA,NA,5225,NA,3932826,2013
North Carolina,1589093,1528301,NA,1211665,NA,NA,628,NA,NA,2013
North Dakota,76756,42095,NA,312,NA,NA,73,NA,NA,2013
Northern Mariana Islands,15405,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2389622,NA,NA,NA,NA,NA,762,NA,1667307,2013
Oklahoma,735552,735552,NA,NA,NA,689574,124,NA,NA,2013
Oregon,694546,539,NA,NA,NA,NA,968,NA,546374,2013
Pennsylvania,3446654,NA,NA,1853407,NA,491720,4170,NA,1621687,2013
Puerto Rico,1520960,NA,NA,1290361,NA,NA,NA,NA,NA,NA
Rhode Island,197166,1649,NA,NA,64110,NA,263,NA,140346,2013
South Carolina,1002319,179590,NA,NA,NA,1002319,399,NA,460065,2013
South Dakota,121630,90998,NA,NA,NA,NA,NA,NA,NA,2013
Tennessee,1215624,NA,NA,NA,NA,NA,288,NA,1215336,2013
Texas,3878766,NA,NA,475866,2476217,1883788,1061,11012,2997946,2013
Utah,265929,NA,NA,506158,NA,216369,NA,NA,186419,2013
Vermont,182096,NA,NA,NA,NA,NA,0,NA,NA,2013
Virgin Islands,13815,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,938184,NA,NA,NA,NA,NA,1299,NA,634435,2013
Washington,1173312,7813,NA,766605,NA,26000,435,NA,789496,2013
West Virginia,330000,4000,NA,NA,NA,NA,NA,NA,170377,2013
Wisconsin,1179354,NA,37217,1085,NA,NA,890,NA,701409,2013
Wyoming,66321,NA,NA,NA,NA,NA,19,NA,NA,2013
