state,total_med_enr,comp_mco,pccm,mltss,bho,dental,transportation,pace,other
Alabama,1054941,NA,620697,NA,NA,NA,NA,161,20419
Alaska,132556,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,1548325,1317463,NA,NA,NA,NA,NA,NA,NA
Arkansas,595807,NA,486970,NA,NA,NA,514453,157,NA
California,11522853,7811712,NA,NA,38,802632,NA,4314,858
Colorado,1079699,63473,655028,NA,1026291,NA,NA,2537,26458
Connecticut,724741,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,227554,195974,NA,NA,NA,NA,NA,91,NA
District of Columbia,257450,172308,NA,NA,NA,NA,52493,NA,NA
Florida,3531945,2658159,0,83289,0,0,NA,885,0
Georgia,1961085,1345813,NA,NA,NA,NA,NA,NA,12535
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,321027,316354,NA,NA,NA,NA,NA,NA,NA
Idaho,266172,697,243436,NA,255551,265292,262397,NA,NA
Illinois,3249835,439899,1725869,NA,NA,NA,NA,NA,NA
Indiana,1176447,737122,36635,NA,NA,NA,NA,NA,NA
Iowa,593572,58285,309166,NA,531791,NA,422253,235,NA
Kansas,399299,356271,NA,NA,NA,NA,NA,359,NA
Kentucky,1209552,1081673,NA,NA,NA,NA,NA,NA,NA
Louisiana,1305671,418174,483747,NA,1027261,1034596,NA,326,NA
Maine,262334,NA,161367,NA,NA,NA,NA,NA,NA
Maryland,1309260,1084437,NA,NA,NA,NA,NA,115,NA
Massachusetts,1878120,799768,306415,NA,306415,NA,NA,3281,NA
Michigan,3871806,1831208,NA,NA,1942487,513521,NA,1032,NA
Minnesota,1112174,791004,NA,NA,NA,NA,NA,NA,NA
Mississippi,699153,155124,NA,NA,NA,NA,NA,NA,NA
Missouri,825974,388857,NA,NA,NA,NA,408655,194,NA
Montana,131923,NA,91071,NA,NA,NA,NA,NA,NA
Nebraska,242578,183497,NA,NA,229661,NA,NA,64,NA
Nevada,533734,360195,37984,NA,NA,NA,464054,NA,NA
New Hampshire,142315,121161,NA,NA,NA,NA,NA,NA,NA
New Jersey,1542022,1314180,NA,NA,NA,NA,1418074,834,NA
New Mexico,727214,579530,NA,NA,NA,NA,NA,694,NA
New York,5845589,4285165,NA,121864,NA,NA,NA,5808,NA
North Carolina,1717658,NA,1401383,NA,1633027,NA,NA,1017,NA
North Dakota,79031,11713,45154,NA,NA,NA,NA,93,269
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2796017,2027590,NA,NA,NA,NA,NA,659,NA
Oklahoma,826434,NA,531147,NA,NA,NA,736785,126,NA
Oregon,1051645,827939,NA,NA,NA,NA,NA,1050,NA
Pennsylvania,2152846,1668071,NA,NA,1971862,NA,476243,3679,NA
Puerto Rico,1459263,1459263,NA,NA,1218534,NA,NA,NA,NA
Rhode Island,263574,217540,9832,NA,NA,76530,NA,284,NA
South Carolina,1089973,720327,189,NA,NA,NA,NA,409,NA
South Dakota,122352,NA,91289,NA,NA,NA,NA,NA,NA
Tennessee,1288631,1288348,NA,NA,NA,NA,NA,283,NA
Texas,4137121,3231250,11679,NA,441813,2719609,1720197,1057,NA
Utah,287754,201356,NA,NA,282149,133242,234575,NA,NA
Vermont,188337,79735,NA,NA,NA,NA,NA,NA,NA
Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,961843,644720,NA,NA,NA,NA,NA,1265,NA
Washington,1245322,1245278,NA,NA,1245322,NA,1245322,NA,NA
West Virginia,486839,203288,3200,NA,NA,NA,NA,NA,NA
Wisconsin,1199773,660442,NA,37978,1084,NA,NA,844,942
Wyoming,68320,NA,NA,NA,NA,NA,NA,57,NA
