state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Alabama2,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Integrated Care Network (Primary Care Case Management Entity (PCCM Entity))","Alabama Select Network",Statewide,"4,157","23,861","28,018",2019,"Senior Select Partners"
Alabama2,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Patient 1st (Primary Care Case Management (PCCM))","Multiple primary care providers",Statewide,"809,137",0,"809,137",2019,"Multiple primary care providers"
Alabama2,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Health Homes (Primary Care Case Management (PCCM))","Multiple primary care providers",Statewide,"253,128",0,"253,128",2019,"Multiple primary care providers"
Alabama2,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Care Plan","Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington Counties","32,463",0,"32,463",2019,"Alabama Medicaid Agency"
Alabama2,"Beneficiaries can simultaneously enroll in Alabama's two PCCM programs: Patient 1st and Health Homes. The de-duplicated Comprehensive Managed Care enrollment is 809,137. ","Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Mercy Life of Alabama","Mobile and Baldwin Counties",24,149,173,2019,"Trinity Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare","Gila, Maricopa, Pima and Pinal Counties","327,817","30,719","358,536",2019,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Care 1st","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal and Yavapai Counties","160,492","12,898","173,390",2019,WellCare
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)",DCS/CMDP,Statewide,"13,154",1,"13,155",2019,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","DES/Division of Developmental Disabilities (MLTSS)",Statewide,"21,849","12,131","33,980",2019,"Government Agency/Non-Profit Entity"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Heathcare (MLTSS)","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, Yavapai Counties","1,251","8,329","9,580",2019,"United Healthcare"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Steward Health Choice Arizona","Apache, Coconino, Gila, Maricopa, Mohave, Navajo, Pinal, and Yavapai Counties","187,899","14,163","202,062",2019,"Steward Healthcare System, LLC"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health-Complete Care Plan","Cochise, Gila, Graham/Greenlee*, LaPaz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties","175,396","16,443","191,839",2019,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care","Gila, Maricopa and Pinal Counties","304,633","13,551","318,184",2019,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care (MLTSS)","Gila, Maricopa, Pima and Pinal Counties","2,464","10,176","12,640",2019,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Magellan Complete Care","Gila, Maricopa and Pinal Counties","11,445",477,"11,922",2019,"Magellan Health Services of Arizona"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care","Cochise, Gila, Graham/Greenlee*, LaPaz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties","177,446","15,984","193,430",2019,"Banner Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Care Plan - SMI","Maricopa County","22,448","7,256","29,704",2019,"Dignity Health and Carondelet Health Network"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Arizona Complete Health- Complete Care Plan SMI","Cochise, Graham/Greenlee*, LaPaz, Pima, Pinal, Santa Cruz and Yuma Counties","13,409","4,351","17,760",2019,"Centene Corporation"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Steward Health Choice Arizona SMI","Apache, Coconino, Gila, Mohave, Navajo and Yavapai Counties","5,791","2,072","7,863",2019,"Steward Healthcare System, LLC"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Banner University Family Care (MLTSS)","Cochise, Gila, Graham/Greenlee*, La Paz, Maricopa, Pima, Pinal, Santa Cruz and Yuma Counties",940,"5,643","6,583",2019,"Banner Health"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Arkansas Total Care",Statewide,"10,725","1,181","11,906",2019,"Centene Corporation"
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Empower Healthcare Solutions",Statewide,"16,654","1,701","18,355",2019,Beacon
Arkansas,,"Provider-Led Arkansas Shared Savings Entity (PASSE) (Comprehensive MCO + MLTSS)","Summit Community Care",Statewide,"12,011","2,964","14,975",2019,"Anthem Insurance Companies, Inc."
Arkansas,,"Connect Care (Primary Care Case Management (PCCM))","Multiple primary care providers",Statewide,"414,584","2,227","416,811",2019,"Multiple primary care providers"
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental",Statewide,"254,785","26,364","281,149",2019,"Managed Care of North America (MCNA), Inc."
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas",Statewide,"272,677","27,952","300,629",2019,"Delta Dental"
Arkansas,,"Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties","127,007","9,794","136,801",2019,"Central Arkansas Development Council"
Arkansas,,"Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties","70,777","7,027","77,804",2019,"Area Agency on Aging of Southeast Arkansas"
Arkansas,,"Arkansas Non-Emergency Medical Transport (NET) (Non-Emergency Medical Transportation)",Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties","418,042","30,654","448,696",2019,Southeasttrans
