STATE,num_bene_id_any_EL_DAYS,num_bene_id_CMCP,num_bene_id_DMCP,num_bene_id_BMCP,num_bene_id_PDMC,num_bene_id_LTCM,num_bene_id_AICE,num_bene_id_PCCM
AL,768100,10102,0,0,0,0,0,494309
AK,99929,0,0,0,0,0,0,0
AZ,1061463,1145541,0,157087,0,44981,0,0
AR,620182,0,0,0,0,0,0,493415
CA,5626511,4067461,6401698,0,0,0,2321,0
CO,422077,149207,0,538114,0,0,1312,74637
CT,434627,378950,0,0,0,0,0,0
DE,142711,131111,0,0,0,0,0,16564
FL,2181083,1121823,266049,556555,0,0,141,708606
GA,1302135,970411,0,0,0,0,0,1066750
HI,194440,182505,0,5997,0,0,0,0
ID,179403,0,0,0,0,0,0,187690
IL,1943454,163006,0,0,0,0,278,0
IN,832394,734111,0,0,0,0,0,86093
IA,362729,7933,0,367354,0,0,0,202633
KS,273559,119932,0,0,0,0,222,119957
KY,699374,171646,0,0,0,0,0,432013
LA,1010412,0,0,0,0,0,0,875661
ME,276017,0,0,0,0,0,0,202661
MD,692639,643449,0,0,0,0,185,0
MA,1043278,482903,0,407824,0,0,8704,386862
MI,1542266,1298866,266095,1688029,0,0,279,0
MN,584183,531374,0,0,0,0,0,0
MS,622921,0,0,0,0,0,0,0
MO,875450,504114,0,0,0,0,207,0
MT,83450,2,0,0,0,0,0,77828
NE,205052,42496,0,227704,0,0,0,55095
NV,170395,129626,0,0,0,0,0,0
NH,111379,0,0,0,0,0,0,0
NJ,858697,711696,0,0,0,0,0,0
NM,399844,340597,0,334422,0,0,0,0
NY,4119148,3315054,0,7536,0,17462,3235,23638
NC,1329227,11233,0,88790,0,0,0,1137303
ND,53030,1295,0,0,0,0,0,47539
OH,1771046,1195257,0,0,0,0,0,0
OK,584541,0,0,0,0,0,0,12935
OR,396744,356937,441883,443414,0,0,793,14183
PA,1717192,1319434,0,1466442,0,340,973,378614
RI,186890,153292,0,0,0,0,0,0
SC,787470,127499,0,249,0,0,445,76352
SD,102874,0,130607,0,0,0,0,96251
TN,1273412,0,0,1427700,0,0,373,0
TX,3034658,1755544,0,452177,0,0,0,1441137
UT,204868,0,0,257196,0,552,0,0
VT,126271,0,0,0,0,0,0,112098
VA,734463,541828,0,0,0,0,0,92116
WA,953755,674552,0,1188465,0,0,291,81020
WV,307233,195769,0,0,0,0,0,32690
WI,848653,509949,0,1168,0,11622,1207,0
WY,61910,0,0,0,0,0,0,0
