"Title: Total Medicaid MCO Enrollment | KFF"
"Timeframe: 2007"
"Location","Comprehensive Risk-Based Managed Care Enrollees","Percent of State Medicaid Enrollment",Footnotes
"United States","19924444","N/A","1"
"Alabama","N/A","N/A"
"Alaska","N/A","N/A"
"Arizona","890046","N/A"
"Arkansas","N/A","N/A"
"California","3258357","N/A"
"Colorado","36707","N/A"
"Connecticut","298914","N/A"
"Delaware","96296","N/A"
"District of Columbia","88893","N/A"
"Florida","722371","N/A"
"Georgia","938512","N/A"
"Hawaii","155802","N/A"
"Idaho","N/A","N/A"
"Illinois","143600","N/A"
"Indiana","532705","N/A"
"Iowa","4654","N/A"
"Kansas","116854","N/A"
"Kentucky","148534","N/A"
"Louisiana","N/A","N/A"
"Maine","N/A","N/A"
"Maryland","479065","N/A"
"Massachusetts","364262","N/A"
"Michigan","972050","N/A"
"Minnesota","367473","N/A"
"Mississippi","N/A","N/A"
"Missouri","344829","N/A"
"Montana","N/A","N/A"
"Nebraska","32038","N/A"
"Nevada","77458","N/A"
"New Hampshire","N/A","N/A"
"New Jersey","619566","N/A"
"New Mexico","252078","N/A"
"New York","2505821","N/A"
"North Carolina","N/A","N/A"
"North Dakota","N/A","N/A"
"Ohio","1193630","N/A"
"Oklahoma","N/A","N/A"
"Oregon","273730","N/A"
"Pennsylvania","962297","N/A"
"Rhode Island","114106","N/A"
"South Carolina","89564","N/A"
"South Dakota","N/A","N/A"
"Tennessee","1182221","N/A"
"Texas","1236627","N/A"
"Utah","N/A","N/A"
"Vermont","N/A","N/A"
"Virginia","381798","N/A"
"Washington","499016","N/A"
"West Virginia","135387","N/A"
"Wisconsin","409183","N/A"
"Wyoming","N/A","N/A"
"Puerto Rico","908211","N/A"

"Notes"
"Data are as of July 1, 2021."
""
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here."
""
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded."
""
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html)."

"Sources"
"Medicaid Managed Care Enrollment Report, Centers for Medicare and Medicaid Services, U.S. Department of Health and Human Services. Special Data Request."

"Definitions"
"*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California)."
""
"*N/A*: Not applicable. The state had no contracts with comprehensive MCOs."


Footnotes
"1. United States total excludes data from Puerto Rico."
