Title: Total Medicaid MCO Enrollment | KFF,,,
Timeframe: 2018,,,
Location,Comprehensive Risk-Based Managed Care Enrollees,Percent of State Medicaid Enrollment,Footnotes
United States,53926492,0.688065848,1
Alabama,N/A,N/A,
Alaska,N/A,N/A,
Arizona,1560593,0.843807804,
Arkansas,N/A,N/A,
California,10653598,0.810754693,
Colorado,118408,0.090886762,
Connecticut,N/A,N/A,
Delaware,199645,0.843237878,
District of Columbia,190116,0.717462186,
Florida,3026316,0.778940633,
Georgia,1445804,0.697004787,
Hawaii,351685,0.988231757,
Idaho,N/A,N/A,
Illinois,2145760,0.689934352,
Indiana,1126133,0.772623674,
Iowa,564492,0.901728564,
Kansas,357683,0.85746512,
Kentucky,1259525,0.90924743,
Louisiana,1384784,0.844341875,
Maine,N/A,N/A,
Maryland,1169603,0.834369277,
Massachusetts,746051,0.39986547,
Michigan,2377009,0.514077495,
Minnesota,892137,0.794655073,
Mississippi,441782,0.64627979,
Missouri,712335,0.733501657,
Montana,N/A,N/A,
Nebraska,248832,0.995105096,
Nevada,457782,0.686781855,
New Hampshire,133829,0.666313169,
New Jersey,1568277,0.939959879,
New Mexico,665250,0.789953666,
New York,4547299,0.73894175,
North Carolina,N/A,N/A,
North Dakota,19515,0.209743987,
Ohio,2449577,0.840177792,
Oklahoma,N/A,N/A,
Oregon,847570,0.797497523,
Pennsylvania,2352627,0.812066957,
Rhode Island,247983,0.79203756,
South Carolina,745469,0.623456661,
South Dakota,N/A,N/A,
Tennessee,1386383,0.918107076,
Texas,3694211,0.927748027,
Utah,226893,0.823535176,
Vermont,N/A,N/A,
Virginia,872408,0.820609488,
Washington,1573493,0.883464679,
West Virginia,407193,0.805480606,
Wisconsin,758442,0.633379348,
Wyoming,N/A,N/A,
Puerto Rico,1505610,1,
,,,
Notes,,,
"Data are as of July 1, 2021.",,,
,,,
"Medicaid Enrollment in Comprehensive Managed Care represents an unduplicated count of Medicaid enrollees enrolled in a managed care plan that provides comprehensive benefits (acute, primary care, specialty, and any other). Enrollment data includes dual eligible enrollees. Errors/corrections identified in CMS enrollment reports (for prior year data) have been incorporated here.",,,
,,,
"Enrollees who are enrolled in PACE programs are excluded. Additionally, enrollment in Idaho's duals plans and Vermont's public managed care model are also excluded.",,,
,,,
"For more table and state specific notes, please see Table 2 in CMS' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html).",,,
,,,
Sources,,,
"KFF analysis of the Centers for Medicare and Medicaid Services' [Medicaid Managed Care Enrollment Reports](https://www.medicaid.gov/medicaid/managed-care/enrollment/index.html), 2023.",,,
,,,
Definitions,,,
*Comprehensive Managed Care Organizations (MCOs)*: MCOs provide all acute and primary  medical services; some also cover behavioral health and long term care. Entities that qualify as MCOs include Health Maintenance Organizations (HMOs) and Health Insuring Organizations (HIOs in  California).,,,
,,,
*N/A*: Not applicable. The state had no contracts with comprehensive MCOs.,,,
,,,
,,,
Footnotes,,,
1. United States total excludes data from Puerto Rico.,,,
