stname,year,pop_with_pccm_only,pop_with_mandhmo,pop_with_mixedmand,pct_with_mandate,pct_with_mandhmo,pct_with_pccm_only,pct_with_mixedmand,pct_with_crb_mandate
alabama,1991,0,0,0,0,0,0,0,0
alabama,1992,0,0,0,0,0,0,0,0
alabama,1993,0,0,0,0,0,0,0,0
alabama,1994,0,0,0,0,0,0,0,0
alabama,1995,0,0,0,0,0,0,0,0
alabama,1996,0,0,0,0,0,0,0,0
alabama,1997,23506,0,0,0.00551391979740227,0,0.00551391979740227,0,0
alabama,1998,917688,398903,0,0.3067340060280191,0.09293479539704806,0.21379921063097101,0,0.09293479539704806
alabama,1999,3910401,399809,0,1,0.09275858948867921,0.9072414105113208,0,0.09275858948867921
alabama,2000,3987450,0,0,0.9088157486581837,0,0.9088157486581837,0,0
alabama,2001,4401956,0,0,1,0,1,0,0
alabama,2002,4414228,0,0,1,0,1,0,0
alabama,2003,4436961,0,0,1,0,1,0,0
alabama,2004,4463469,0,0,1,0,1,0,0
alabama,2005,4502011,0,0,1,0,1,0,0
alabama,2006,4560486,0,0,1,0,1,0,0
alabama,2007,4603390,0,0,1,0,1,0,0
alabama,2008,4647978,0,0,1,0,1,0,0
alabama,2009,4687074,0,0,1,0,1,0,0
alabama,2010,4714274,0,0,1,0,1,0,0
alabama,2011,4727704,0,0,1,0,1,0,0
alabama,2012,4744644,0,0,1,0,1,0,0
alabama,2013,4759169,0,0,1,0,1,0,0
alabama,2014,4770806,0,0,1,0,1,0,0
alabama,2015,4781260,0,0,1,0,1,0,0
alabama,2016,4792421,0,0,1,0,1,0,0
alabama,2017,4803049,0,0,1,0,1,0,0
alabama,2018,4816274,0,0,1,0,1,0,0
alabama,2019,4831672,0,0,1,0,1,0,0
alabama,2020,4868548,0,0,1,0,1,0,0
alabama,2021,4885594,0,0,1,0,1,0,0
alabama,2022,4907940,0,0,1,0,1,0,0
arizona,1991,0,3749158,0,1,1,0,0,1
arizona,1992,0,3854303,0,1,1,0,0,1
arizona,1993,0,3980200,0,1,1,0,0,1
arizona,1994,0,4133728,0,1,1,0,0,1
arizona,1995,0,4292957,0,1,1,0,0,1
arizona,1996,0,4417897,0,1,1,0,0,1
arizona,1997,0,4537443,0,1,1,0,0,1
arizona,1998,0,4652028,0,1,1,0,0,1
arizona,1999,0,4759359,0,1,1,0,0,1
arizona,2000,0,5140975,0,1,1,0,0,1
arizona,2001,0,5253897,0,1,1,0,0,1
arizona,2002,0,5376791,0,1,1,0,0,1
arizona,2003,0,5490642,0,1,1,0,0,1
arizona,2004,0,5632425,0,1,1,0,0,1
arizona,2005,0,5818698,0,1,1,0,0,1
arizona,2006,0,6008568,0,1,1,0,0,1
arizona,2007,0,6147034,0,1,1,0,0,1
arizona,2008,0,6259807,0,1,1,0,0,1
arizona,2009,0,6322640,0,1,1,0,0,1
arizona,2010,0,6386675,0,1,1,0,0,1
arizona,2011,0,6452039,0,1,1,0,0,1
arizona,2012,0,6534457,0,1,1,0,0,1
arizona,2013,0,6612242,0,1,1,0,0,1
arizona,2014,0,6709897,0,1,1,0,0,1
arizona,2015,0,6809210,0,1,1,0,0,1
arizona,2016,0,6920424,0,1,1,0,0,1
arizona,2017,0,7023302,0,1,1,0,0,1
arizona,2018,0,7136985,0,1,1,0,0,1
arizona,2019,0,7257609,0,1,1,0,0,1
arizona,2020,0,7170114,0,1,1,0,0,1
arizona,2021,0,7256102,0,1,1,0,0,1
arizona,2022,0,7349149,0,1,1,0,0,1
arkansas,1991,0,0,0,0,0,0,0,0
arkansas,1992,0,0,0,0,0,0,0,0
arkansas,1993,0,0,0,0,0,0,0,0
arkansas,1994,0,0,0,0,0,0,0,0
arkansas,1995,2484822,0,0,1,0,1,0,0
arkansas,1996,2510890,0,0,1,0,1,0,0
arkansas,1997,2529275,0,0,1,0,1,0,0
arkansas,1998,2543887,0,0,1,0,1,0,0
arkansas,1999,2558581,0,0,1,0,1,0,0
arkansas,2000,2678588,0,0,1,0,1,0,0
arkansas,2001,2691571,0,0,1,0,1,0,0
arkansas,2002,2705927,0,0,1,0,1,0,0
arkansas,2003,2724816,0,0,1,0,1,0,0
arkansas,2004,2749686,0,0,1,0,1,0,0
