statename,statecode,territory,year,mdcdenroll,hmoenroll,percenthmo,gdp,respop,gdpcapita,fmap,numpoor,povrate,payshare,totmdcd,totschip,m_pov120134,m_pov135175,m_abortions,m_allcareeld,m_clinicserv,m_coinsurance,m_community,m_dental,m_drugrebnatl,m_drugrebstate,m_emergency,m_epsdt,m_fedhealthcenter,m_homecommun,m_homecommuneld,m_homehealthserv,m_hospice,m_inpatientdsh,m_inpatientreg,m_interprivate,m_interpublic,m_labrad,m_mdcdcoin,m_mdcdgroup,m_mdcdmco,m_mdcdphp,m_mdcdother,m_mdcrparta,m_mdcrpartb,m_mentaldsh,m_mentalreg,m_nursfacserv,m_otherserv,m_otherprac,m_outpatienthosp,m_personalserv,m_physserv,m_prepaidamb,m_prepaidinp,m_rx,m_primcasemgmt,m_rural,m_steril,m_targetcasemgmt,mb_balance,mc_collections,mt_totnetexp,a_appmmisin,a_appmmisprive,a_dur,a_enrollbrok,a_extrev,a_famplan,a_immigstat,a_mechsysin,a_mechsyspriv,a_mmisdrug,a_mmisin,a_mmispriv,a_nursetrain,a_otherfnclpart,a_outstndelig,a_peerrevorg,a_preadmscreen,a_resrev,a_skilledprof,a_tanfbase,a_tanfsec75,a_tanfsec90,a_tplaor,a_tplrecov,ab_balance,ac_collections,at_totnetexp,c_abortions,c_casemgmt,c_clinicserv,c_dental,c_drugrebnatl,c_drugrebstate,c_famplan,c_homecommun,c_homehealth,c_hospice,c_inpatientdsh,c_inpatientreg,c_mentaldsh,c_mentalreg,c_labrad,c_mepequip,c_medtrans,c_mdcrpay,c_nurscareservices,c_otherprac,c_otherserv,c_outpatienthosp,c_outpatientmental,c_physsurg,c_premover150csoff,c_premover150grosspd,c_premupto150csoff,c_premupto150grosspd,c_rx,c_screenserv,c_therapyserv,c_visionserv,cb_balance,cc_collections,ct_totnetexp,s_abortions,s_admin,s_casemgmt,s_clinicserv,s_dental,s_famplan,s_homecommun,s_homehealth,s_hospice,s_inpatient,s_mental,s_labrad,s_mepequip,s_medtrans,s_nurscareservices,s_otherprac,s_otherserv,s_outpatienthosp,s_outpatientmental,s_outreach,s_physsurg,s_premover150csoff,s_premover150grosspd,s_premupto150csoff,s_premupto150grosspd,s_rx,s_reserved,s_screenserv,s_therapyserv,s_visionserv,sb_balance,sc_collections,st_totnetexp,t_pov120134,t_pov135175,t_abortions,t_allcareeld,t_clinicserv,t_coinsurance,t_community,t_dental,t_drugrebnatl,t_drugrebstate,t_emergency,t_epsdt,t_fedhealthcenter,t_homecommun,t_homecommuneld,t_homehealthserv,t_hospice,t_inpatientdsh,t_inpatientreg,t_interprivate,t_interpublic,t_labrad,t_mdcdcoin,t_mdcdgroup,t_mdcdmco,t_mdcdphp,t_mdcdother,t_mdcrparta,t_mdcrpartb,t_mentaldsh,t_mentalreg,t_nursfacserv,t_otherserv,t_otherprac,t_outpatienthosp,t_personalserv,t_physserv,t_prepaidamb,t_prepaidinp,t_rx,t_primcasemgmt,t_rural,t_steril,t_targetcasemgmt,tt_totnetexp,_merge
Alabama,1,0,2003,760527,404797,0.532258552293344,130210000000,4495089,28967.16839199402,72.075,663000,0.1501018791034639,3,3605831843,89798916,0,184500,2992,0,99253636,0,0,40475235,-102784110,0,0,23862106,24743397,208965761,0,39950045,29720173,350366735,318929721,1198287,53575253,45222303,0,366975,12731106,312259047,1213590,7872481,105346796,3301620,29926086,768429449,111026760,15279972,115305148,0,164158490,NA,NA,536222703,124544835,10606441,2537670,51034936,3505830139,-27997208,3477832931,6402970,8873543,0,0,0,1077351,0,0,6028911,0,3488210,15635741,1621278,71566110,7270794,1617704,0,0,4569264,0,0,0,0,0,128151876,-152964,127998912,0,11118,7446,26243,0,0,0,0,0,0,0,34975,0,-3322,11919,1197,1718,0,0,6263,11027,4705,0,28898,0,0,0,0,4640,693,772,2209,150501,0,150501,0,3620991,0,11626,10397965,0,0,0,0,10854263,1296272,6947475,2671551,459408,1512,602874,5206804,11957741,1079740,901181,17767130,-772758,0,0,0,15787597,0,0,857043,0,89648415,0,89648415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Alaska,2,0,2003,95335,0,0,31219000000,647747,48196.28651309848,59.745,62000,0.09642301710730948,3,893295486,33847420,0,0,0,0,73190514,0,0,15401904,-17193597,0,0,4486048,1851458,84614679,27520936,760448,71915,10503604,178664516,0,0,985820,0,0,0,0,19318,2686205,7069389,5173417,14286941,99307550,57478162,5172648,58775387,44413967,61899202,NA,NA,94265165,0,1101881,1812408,0,834319885,-4741462,829578423,1638859,9682602,0,0,0,-421706,39140,1174167,316548,0,2479882,94140,0,40098331,0,4569484,156354,0,2840313,252324,0,796625,0,0,63717063,0,63717063,0,0,301864,3054145,0,0,0,23504,71720,0,0,3070825,0,6168807,50771,176583,3031375,0,0,49627,145211,2334119,3859345,4527747,0,0,0,0,3169828,0,622933,476329,31134733,0,31134733,0,2712687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712687,0,2712687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Arizona,3,0,2003,901655,808506,0.8966910847275288,182011000000,5582252,32605.299796569558,68.725,749000,0.13476070528967254,3,4426112677,242147701,4700689,15622,1184,0,40449518,519339,0,2321179,0,0,105189752,6120355,8123534,0,0,964337,78734,148363799,135926969,0,0,3595905,0,0,3443273464,0,0,3296053,59647091,24565903,503982,22317755,38124316,51843172,91173746,4176850,21790144,NA,NA,4744244,-470,0,18541,0,4221845707,-2647304,4219198403,13007861,1447543,0,0,0,0,0,1926532,62630,0,2348344,0,212961,180769612,0,552124,4571476,216763,1777913,20194,321,0,0,0,206914274,0,206914274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7749366,0,6310,211698,1685,0,438,0,1218555,6000,74244,26988,156308,22844,15360,457746,354676,0,0,426858,-3875263,29514851,0,205485275,340756,0,6359,3911,29331,242234296,-86595,242147701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Arkansas,4,0,2003,557074,374067,0.6714852963879125,75685000000,2723645,27788.129510270246,75.755,474000,0.17752808988764046,3,2440752411,40353592,1783890,30294,0,0,202384944,98298322,0,18232340,-58097761,0,0,76677229,4384323,109986185,28869,24770278,7374277,30701562,355507073,17640482,0,16557680,55478,0,0,0,0,9721727,55573043,775770,110932901,540164919,82641199,7892221,93965504,57330444,156028602,NA,NA,310709182,10553132,6299918,2786665,10757141,2362447833,-32854233,2329593600,349053,16644049,180747,0,0,0,0,0,0,0,0,13805268,1340422,45357398,967976,16331424,328456,23197,7117222,0,8641232,0,20273,52094,111158811,0,111158811,0,221562,3844500,4848501,0,0,0,0,120884,0,0,4382404,0,2628,716782,0,99892,100,285,1068017,1003330,3049629,0,8998506,0,0,0,0,8079144,67985,198089,201064,36903302,0,36903302,0,3450290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450290,0,3450290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
California,5,0,2003,6272109,3258787,0.5195679794467858,1406511000000,35466365,39657.60235084706,52.175,4634000,0.13124132657396131,3,32153236960,869297118,0,50056,0,0,624473596,0,0,774687880,-834234798,-373566068,596270749,32914384,546575961,1176830399,0,155810425,70773677,1835141213,5223203190,328784083,351788563,149137000,0,37575753,4857413695,0,0,541558977,555511471,71315,2158310418,2931814408,692700526,109664360,582224730,1849595851,905292814,NA,NA,4219504969,0,53946133,0,257142865,30410968595,-313914319,30097054276,53468930,205781919,0,0,0,0,6262757,1086585,20953059,0,2669251,10463217,0,1630023543,0,0,0,0,122581532,0,0,2963423,-69629,-1903,2056182684,0,2056182684,0,0,3382521,3382431,0,0,0,189,304244,0,0,5185171,0,244297,70534,0,160794,0,0,252017,19358823,1475447,0,2035650,0,0,0,13818884,3243630,226763,0,0,53141395,0,53141395,0,61241662,0,394498,313899,0,0,9454,0,38032108,12415,6274,0,9301,0,16868,29148,3851498,11896333,7858737,17575179,-29028739,479104302,-14043279,232924857,5145952,0,782157,0,23099,816155723,0,816155723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Colorado,6,0,2003,330499,262263,0.7935364403523157,187397000000,4545957,41222.78323354136,51.475,436000,0.09736489504242965,3,2663162618,62458057,1035224,21536,0,0,65991293,0,0,35683008,-32446928,0,0,4497811,32920090,357944772,0,80636322,19839860,160425595,366658641,1118733,31306179,13416514,0,572089,438558187,0,19915143,1601130,35402680,0,5060476,415217012,53004907,0,95714884,0,119897810,NA,NA,225297507,1867062,3137275,2081887,11167973,2567544672,-15384812,2552159860,775687,18324673,0,0,0,0,5930,0,0,0,689549,3218730,310330,81540959,0,4070621,600566,129265,1337769,0,0,16075,-5566,-11830,111002758,0,111002758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6014120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231685,0,0,14560079,0,41827201,0,0,0,0,0,62633085,-175028,62458057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Connecticut,7,0,2003,405064,294331,0.7266283846503269,169885000000,3482326,48784.92134280363,51.475,278000,0.0813579163008487,3,3622414510,26757787,4186684,2899,0,0,27821778,90815626,0,3986853,-81550711,0,0,865412,12385695,445766980,0,178741798,0,144368510,200763743,49244376,197666720,2706661,19952239,0,615456024,0,5416701,10442009,41576899,83853212,5672463,997830090,54427767,53149093,56407513,0,32421236,NA,NA,403802170,0,0,174412,25817007,3684171859,-177587913,3506583946,874,14029406,596189,3421205,0,0,0,5806958,146943,0,1834932,2174324,0,81426397,195363,1235680,338777,0,2548507,0,1958032,116977,0,0,115830564,0,115830564,0,23410,2098,0,0,0,0,6880,96,0,0,3392,0,0,199,0,0,0,-120,2464,1337,1885,0,3788,0,0,0,2647,759,48,0,0,48883,0,48883,0,2675779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867433,0,0,0,0,0,23165692,0,0,0,0,0,0,0,26708904,0,26708904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Delaware,8,0,2003,121676,86709,0.7126220454321313,48587000000,816861,59480.13187066098,51.475,60000,0.07334963325183375,3,764749840,7083431,263882,0,0,0,3232825,0,0,6592930,-28352506,0,0,19276679,225166,50910863,10894183,6878392,3250519,0,30482922,0,28514265,1570607,0,0,0,0,210216207,1227477,10830053,2679600,22925158,152539852,56704082,585775,7592936,0,11231250,NA,NA,109844743,0,0,16850,0,720134710,-1664439,718470271,0,9130417,0,0,0,0,0,0,0,0,0,1479801,0,31909344,0,460723,1256693,0,2005856,0,21061,15674,0,0,46279569,0,46279569,0,0,1800,0,0,0,0,0,255,0,0,16575,0,0,158,0,0,0,0,0,16675,2247,0,15004,0,0,0,178532,17326,0,0,0,248572,0,248572,0,476254,0,14863,0,0,0,0,0,7056,55872,0,0,0,0,0,1964087,0,80866,0,0,-810352,1656066,-1645262,3362317,1484896,0,440001,0,0,7086664,-251805,6834859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Florida,9,0,2003,2214058,1354025,0.6115580531313994,559021000000,16981800,32918.83074821279,60.305,2148000,0.12722103766879886,3,11474470842,502633581,12400786,0,0,0,56825462,97126896,30564,60813655,-414279379,-50601570,177069366,49378989,0,764006729,0,119333364,149329470,182536044,1752848704,111674766,204436164,37865511,0,0,1174056555,0,0,165612994,240202353,88239048,4765110,2126718331,683835007,10343160,425971689,19248032,571692536,NA,NA,2015594273,19356208,47784992,0,84854201,10989070010,-63541298,10925528712,635201,37075424,0,0,0,0,0,0,17433144,0,0,7026348,75531,424420139,0,22619921,9998490,0,16616897,0,118,12622830,127767,290320,548942130,0,548942130,0,579951,1494597,4864612,0,0,0,0,399084,5059,0,12327946,0,0,663992,0,480283,0,144319,4271,33668419,6660746,0,7137756,0,0,0,0,9300100,882855,2667380,684469,81965839,0,81965839,0,35618000,125056,314038,0,0,0,429759,0,727607,0,42448,0,48171,44714,8360,25765202,1199180,0,1068964,49074749,-8772040,90513452,-22207265,246967462,1516863,0,1957592,510701,0,424953013,-4285271,420667742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Georgia,10,0,2003,1448645,1212639,0.8370850001208026,317922000000,8750259,36332.867404267694,61.075,1014000,0.11847178408692605,3,6681102836,250756400,6469100,592790,396,0,74820611,0,0,144120728,-219238104,0,0,39674241,6594028,195682199,7790742,59104268,34815685,366306092,1317616459,7730219,101616885,20904021,0,0,0,510619606,-823163,20849238,112027198,0,60917857,900262135,163484496,59727618,384358764,1143486543,548884121,NA,NA,1073715230,25864546,6337375,3014340,414844715,7592170979,-1291314500,6300856479,4928278,15569957,0,0,0,0,0,5003538,16240543,0,1879373,13293724,1126230,305593074,0,0,0,0,16611640,0,0,0,0,0,380246357,0,380246357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7671297,8083913,4024235,42738174,90574,0,302780,0,13630961,3963839,827763,1079535,496813,1434880,4894556,919217,36499429,0,0,42310804,-2485245,-9673818,0,0,87942091,0,3751479,81342,2171781,250756400,0,250756400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
